Average Effective Clock,CPU Overall Power Consumption,GPU Power,GPU Effective Clock,FPS
2858.6,128.286,337.975,1908.3,125
2915.6,130.041,343.147,1916.8,113
2785.1,128.569,336.861,1901.5,114
2857.2,130.04,342.859,1908.4,116
2980.8,131.207,338.696,1917.7,133
3023.3,129.84,337.642,1911.8,146
3033.0,129.973,338.045,1918.3,153
2997.7,129.053,335.12,1917.1,155
3018.2,129.776,336.274,1917.1,147
2953.6,129.108,339.707,1911.1,141
2896.4,127.641,341.716,1917.4,140
2857.8,126.832,343.532,1917.1,148
2885.5,127.075,340.45,1909.6,161
2763.3,124.78,342.45,1914.8,149
2687.8,122.825,338.907,1902.6,149
2800.2,124.475,339.457,1906.7,161
2858.6,125.693,338.553,1908.6,166
2763.9,123.368,339.31,1902.7,163
2796.5,125.722,342.516,1904.0,134
2853.2,126.66,338.874,1904.1,154
2863.1,125.979,340.958,1902.2,155
2797.5,124.446,338.693,1902.6,159
2822.0,124.746,339.347,1904.6,156
2762.6,123.521,341.067,1902.4,157
2762.7,123.306,339.302,1906.2,169
2836.2,126.328,342.083,1912.6,140
2778.1,126.121,341.467,1905.8,140
2725.6,122.712,342.081,1912.3,171
2755.0,123.128,342.591,1917.0,178
2750.7,122.899,342.634,1916.9,175
2663.7,123.167,340.173,1909.4,142
2640.5,122.621,341.054,1909.1,141
2626.5,122.419,339.158,1903.0,142
2722.9,124.184,340.56,1916.8,152
2692.0,122.41,342.726,1907.3,174
2816.2,124.851,344.337,1915.0,163
2744.1,123.21,341.181,1913.2,163
2769.5,124.326,337.266,1917.4,153
2674.1,121.87,338.62,1917.1,163
2707.8,122.457,334.271,1916.8,158
2777.0,123.968,337.98,1916.3,158
2770.8,123.979,338.743,1916.5,158
2769.7,123.922,336.627,1917.0,160
2809.9,124.643,337.692,1916.0,160
2757.2,123.732,342.377,1917.5,152
2697.9,122.304,342.759,1909.0,166
2807.1,124.734,342.91,1913.2,159
2735.1,123.396,343.399,1917.0,155
2701.4,122.677,346.544,1917.3,164
2798.4,126.013,343.422,1913.5,147
2830.8,125.896,339.631,1910.4,163
2890.2,125.925,341.241,1916.2,176
2800.7,125.824,339.168,1902.8,134
2753.3,128.562,343.503,1916.8,133
2697.3,125.825,341.207,1902.2,138
2700.3,124.272,344.979,1915.1,149
2755.9,124.552,338.586,1916.0,150
2781.0,125.005,341.844,1917.2,155
2816.7,124.717,339.164,1904.1,157
2852.8,125.832,338.955,1903.6,148
2915.5,127.503,342.902,1905.1,148
2924.0,127.771,340.728,1908.4,146
2918.3,127.751,342.066,1909.6,147
2920.1,127.803,345.924,1914.2,148
2916.9,127.976,340.888,1906.8,146
2932.8,127.983,338.822,1903.8,146
2905.6,126.929,343.102,1913.1,156
2833.0,124.693,343.566,1911.4,175
2806.8,124.007,340.763,1909.6,164
2960.1,129.214,342.446,1917.1,137
2873.6,127.244,346.553,1916.6,147
2897.1,128.424,342.463,1913.5,131
2824.3,126.181,343.187,1902.3,159
2819.9,125.075,341.629,1902.2,166
3000.4,131.308,341.847,1902.6,121
3089.4,134.322,341.323,1905.6,135
2862.8,129.419,338.76,1908.3,146
2844.2,128.259,340.735,1917.4,135
2849.7,126.908,342.073,1909.3,151
2759.0,124.931,342.971,1907.9,136
2823.3,128.047,346.034,1915.4,127
2801.4,129.543,346.595,1913.2,127
2696.6,125.665,338.461,1903.8,142
2818.0,126.249,334.107,1917.0,159
2899.6,127.53,340.733,1918.5,159
2835.5,127.363,340.797,1914.8,164
2880.1,129.75,339.584,1916.7,153
2904.0,129.974,336.213,1916.0,154
2852.8,129.634,339.033,1916.3,163
2902.8,127.978,342.451,1913.5,152
2865.3,127.237,343.408,1913.2,143
2767.6,128.591,342.943,1917.5,130
2728.9,128.811,343.446,1912.0,133
2717.8,125.705,343.664,1915.9,156
2817.0,126.677,339.176,1916.8,184
2834.6,125.826,340.908,1916.8,173
2764.8,124.861,336.917,1916.3,182
2764.3,124.197,339.901,1916.4,180
2766.9,124.068,342.323,1915.8,178
2757.2,123.915,339.808,1916.1,178
2869.7,126.546,334.847,1914.6,164
2759.7,126.174,339.619,1911.4,164
2828.8,129.974,342.197,1913.3,146
2865.9,132.604,342.287,1916.7,145
2831.4,131.462,343.574,1916.8,147
2845.3,131.466,342.769,1916.4,147
2860.2,131.799,341.727,1912.9,145
2821.3,130.619,338.526,1910.1,147
2804.3,127.914,341.536,1912.4,153
2801.9,130.636,340.359,1904.2,148
2811.0,130.924,339.225,1906.6,145
2821.9,130.481,343.372,1912.7,158
2886.2,128.891,334.496,1917.5,151
2964.2,129.554,344.799,1917.5,152
2842.6,126.547,344.45,1913.2,152
2759.9,124.449,342.006,1917.0,150
2755.7,124.251,341.402,1913.2,152
2669.4,121.935,342.874,1916.7,162
2743.3,124.357,341.933,1915.9,168
2754.2,124.388,337.284,1909.9,158
2649.5,122.615,343.011,1910.6,152
2694.4,122.985,336.653,1908.2,158
2696.3,122.994,340.14,1909.2,158
2647.0,121.44,344.944,1916.4,159
2648.9,121.983,337.63,1912.7,162
2739.0,124.228,340.086,1909.6,151
2838.1,126.116,343.633,1906.7,156
2810.4,126.113,341.482,1904.8,141
2761.9,126.812,337.416,1903.1,134
2840.7,129.536,339.924,1904.1,153
2852.4,129.921,341.287,1910.0,146
2992.8,133.901,340.274,1901.7,136
2994.9,131.267,338.036,1904.8,137
2916.3,129.484,339.484,1911.8,132
2687.1,124.435,344.504,1378.7,140
2977.3,130.756,340.389,1920.2,138
2802.4,127.109,343.436,1931.9,133
2887.9,129.807,345.909,1933.1,120
3013.0,132.269,341.339,1923.8,122
3161.9,137.001,340.802,1926.6,119
3081.3,134.667,340.629,1922.0,120
3187.4,138.196,342.271,1925.4,119
3109.6,136.263,341.554,1938.2,122
3082.9,134.317,342.727,1927.3,145
2873.7,128.126,340.046,1924.1,165
3050.0,133.297,341.589,1919.7,134
3308.9,142.398,341.236,1923.9,110
2905.7,131.735,346.573,1905.6,126
2808.6,125.403,341.388,1923.1,169
2810.3,125.737,340.594,1925.0,142
2879.7,127.952,345.124,1920.7,120
3077.6,135.888,346.361,1904.1,111
3094.5,135.271,347.811,1909.9,121
3053.7,133.936,344.098,1912.1,122
3109.1,134.763,346.947,1914.5,122
3175.0,137.686,346.693,1893.0,103
3143.6,138.189,347.409,1888.1,102
3273.8,141.752,344.236,1896.6,99
3035.2,133.747,346.238,1890.5,121
2799.9,125.56,344.595,1877.9,126
2712.5,123.292,347.317,1876.3,146
2688.4,122.536,345.937,1874.3,137
2721.4,123.397,346.581,1873.3,137
2711.9,123.031,346.174,1873.2,137
2726.7,123.279,347.336,1874.1,137
2714.1,122.721,347.736,1873.2,137
2342.6,117.089,315.219,1408.5,178
2328.2,114.905,217.199,871.1,152
2776.3,124.137,345.784,1926.0,139
2763.3,124.047,347.008,1921.9,138
2399.6,113.611,288.702,1464.6,133
2798.7,124.326,348.205,1925.6,129
2693.7,121.772,345.32,1923.0,127
2783.4,123.726,347.667,1924.1,127
3022.1,131.873,348.255,1918.7,135
2805.3,123.765,347.909,1924.4,136
2758.8,122.608,347.503,1922.4,138
2771.6,123.271,348.108,1909.3,132
2736.3,122.683,346.267,1921.1,134
